ID,designation_header,strain_number_header,is_type_strain_header,species,genus
168040,"375, B375","DSM 46677, CBMAI 1090",1,"Williamsia aurantiaca",Williamsia
17375,,"DSM 44902, CCUG 50873, CIP 109147, IMMIB RIV-956, JCM 13662, IFM 10667",1,"Williamsia deligens",Williamsia
17376,,"DSM 44903, CCUG 50874, IMMIB RIV-956Fl",0,"Williamsia deligens",Williamsia
17379,N1350,"DSM 45372, NCIMB 14575, NRRL B-24794, JCM 17784",1,"Williamsia faeni",Williamsia
132663,ARP1,"DSM 46872, LMG 28679, JCM 32438",1,"Williamsia herbipolensis",Williamsia
17381,L1505,"DSM 45521, KCTC 19981, NRRL B-24829, JCM 19965",1,"Williamsia limnetica",Williamsia
17377,MT8,"DSM 44944, CIP 109299, NCIMB 14085, JCM 14345, BCRC 16833",1,"Williamsia marianensis",Williamsia
17374,"SJS 0289/JS1","DSM 44693, JCM 12070, NCIMB 13945, CIP 108354, KCTC 9945",1,"Williamsia maris",Williamsia
17371,"MA 140/96","CCUG 45782, CIP 106979, KCTC 9830, DSM 44343, JCM 10676, BCRC 16390, IFM 10085, NBRC 105860, NCIMB 13853",1,"Williamsia muralis",Williamsia
17380,C7,"DSM 45526, CCM 7855, CCUG 60465, JCM 19126",1,"Williamsia phyllosphaerae",Williamsia
17378,,"DSM 45037, CCUG 53151, CIP 109522, IMMIB SR-4, JCM 14883, IFM 10863",1,"Williamsia serinedens",Williamsia
132045,Leaf354,"DSM 102764",0,"Williamsia sp.",Williamsia
17372,,"DSM 10347, NRRL B-15444R",0,"Williamsia sp.",Williamsia
17373,JE1,"DSM 44651",0,"Williamsia sp.",Williamsia
133111,B138,"CBMAI 1094, DSM 46676",1,"Williamsia spongiae",Williamsia
24667,,"DSM 45741, CPCC 203464, KCTC 29118, JCM 31496",1,"Williamsia sterculiae",Williamsia
168887,PIPN-2,"ATCC 49196, NCTC 11716",1,"Williamsoniiplasma lucivorax",Williamsoniiplasma
167901,PIMN-1,"NCTC 11717, ATCC 49195",1,"Williamsoniiplasma luminosum",Williamsoniiplasma
167830,PYAN-1,"NCTC 11719, ATCC 49194",1,"Williamsoniiplasma somnilux",Williamsoniiplasma
140798,A7P-90m,"JCM 30888, DSM 100563",1,"Williamwhitmania taraxaci",Williamwhitmania
135359,"GF 22/92","CIP 104017, ATCC 700049",0,"Winkia neuii",Winkia
