ID,designation_header,strain_number_header,is_type_strain_header,species,genus
16654,B12,"DSM 5389, ATCC 51178, JCM 8931, IFO 15437, NBRC 15437",1,"Saccharolobus shibatae",Saccharolobus
16650,P1,"DSM 1616, ATCC 35091, JCM 8930, IFO 15158, IFO 15331, NBRC 15158, NBRC 15331",1,"Saccharolobus solfataricus",Saccharolobus
16651,P2,"DSM 1617, JCM 11322, ATCC 35092",0,"Saccharolobus solfataricus",Saccharolobus
16652,"P1, P1-G","DSM 5354",0,"Saccharolobus solfataricus",Saccharolobus
16653,MT-4,"DSM 5833",0,"Saccharolobus solfataricus",Saccharolobus
163905,,"JCM 30930",0,"Saccharolobus solfataricus",Saccharolobus
23219,DS3030,"DSM 45685, KCTC 29069, NRRL B-24885",1,"Saccharomonospora amisosensis",Saccharomonospora
13433,NA-128,"DSM 44631, ATCC 43670, IFO 14651, JCM 7551, KCTC 9475, KCTC 9693, MTCC 1552, NBRC 14651, NCIMB 12630, SIIA 86128, BCRC 16220, CGMCC 4.1328, IMSNU 20117, IFO (now NBRC) 14651",1,"Saccharomonospora azurea",Saccharomonospora
144765,,"CCUG 26487",0,"Saccharomonospora azurea",Saccharomonospora
13421,,"DSM 43044, ATCC 49227, CUB 431, IFO 12990, INMI 19125, KCC A-0098, NBRC 12990, JCM 3098, IMSNU 20118, KCTC 9152, KCTC 9477, MTCC 1551",1,"Saccharomonospora caesia",Saccharomonospora
13422,,"DSM 43068, ATCC 15345, CBS 110.62, CCM 3262, KCC A-0120, ETH 28747, JCM 3120, BCRC 12633, CCUG 4910, CMI 104409, KCTC 9153, KCTC 9476",0,"Saccharomonospora caesia",Saccharomonospora
13423,S34,"DSM 43680",0,"Saccharomonospora caesia",Saccharomonospora
158550,S265,"TBRC 7235, NBRC 112945",1,"Saccharomonospora colocasiae",Saccharomonospora
13430,"NA-134, IFO(now NBRC) 14841","DSM 44106, ATCC 43724, IFO 14841, JCM 7552, KCTC 9478, KCTC 9659, NBRC 14841, SIIA 88134, CGMCC 4.1327, IMSNU 20119, MTCC 1550, SIIA 86134",1,"Saccharomonospora cyanea",Saccharomonospora
13424,K62,"DSM 43769, IFO 14831, JCM 7444, NBRC 14831, BCRC 16222, CGMCC 4.1329, KACC 20053, KCTC 9479",1,"Saccharomonospora glauca",Saccharomonospora
13425,K63,"DSM 43770",0,"Saccharomonospora glauca",Saccharomonospora
13426,K68,"DSM 43771",0,"Saccharomonospora glauca",Saccharomonospora
13427,,"DSM 44012, CBS 498.63, IFO 12530, JCM 3033, KCC A-0033, KCTC 9645, NBRC 12530, BCRC 12631, VKM Ac-698",0,"Saccharomonospora glauca",Saccharomonospora
161116,,"JCM 10978, IFO 14050, KCTC 3673, NBRC 14050",0,"Saccharomonospora glauca",Saccharomonospora
13432,8,"DSM 44411, JCM 11761, NRRL B-24125, BCRC 16373, CIP 107429, CPCC 203285",1,"Saccharomonospora halophila",Saccharomonospora
17723,IQ-H1,"DSM 44640, AS 4.1193, JCM 9891, BCRC 16263, CGMCC 4.1193, NBRC 103187",1,"Saccharomonospora iraqiensis",Saccharomonospora
13434,,"DSM 44619, CCRC 16315, CCTCC AA 001018, YIM 90007, JCM 13241, BCRC 16315, KCTC 9971, CIP 107982",1,"Saccharomonospora iraqiensis subsp. paurometabolica",Saccharomonospora
13436,15,"DSM 45390, CCTCC AA 209048, KCTC 19701, XMU 15",1,"Saccharomonospora marina",Saccharomonospora
23220,,"DSM 45700, JCM 18128, YIM M11168",1,"Saccharomonospora oceani",Saccharomonospora
158719,06168H-1,"BCRC 16893, KCTC 19743",1,"Saccharomonospora piscinae",Saccharomonospora
13435,,"DSM 45087, CCTCC AB 207003, KCTC 19234, YIM 90502, JCM 15627",1,"Saccharomonospora saliphila",Saccharomonospora
159360,SMA,"DSM 45358",0,"Saccharomonospora sp.",Saccharomonospora
13428,,"DSM 45005, YIM 90484",0,"Saccharomonospora sp.",Saccharomonospora
13429,,"DSM 45008, YIM 90557",0,"Saccharomonospora sp.",Saccharomonospora
105433,ST005138(HKI),"IMET 40366",0,"Saccharomonospora sp.",Saccharomonospora
169419,LRS4.154,"DSM 105201",0,"Saccharomonospora sp.",Saccharomonospora
105432,ST033386(HKI),,0,"Saccharomonospora viridis",Saccharomonospora
13416,,"DSM 43671, ATCC 33517, IFO 15919, IMET 9677, INMI 632, JCM 3315, KCC A-0315, NBRC 15919, VKM A-802, CGMCC 4.1335, KACC 20067, KCTC 9156, VKM Ac-802",0,"Saccharomonospora viridis",Saccharomonospora
133238,,"TRM 41495, CCTCC AA 2015038, KCTC 39727",1,"Saccharomonospora xiaoerkulensis",Saccharomonospora
13431,XJ-54,"DSM 44391, CCTCC AA 97021, JCM 11270, CGMCC 4.2111",1,"Saccharomonospora xinjiangensis",Saccharomonospora
470,2-40,"DSM 17024, ATCC 43961, CCUG 66513",1,"Saccharophagus degradans",Saccharophagus
133357,,"CCTCC AA 2012014, JCM 30185, TRM 46074",1,"Saccharopolyspora aidingensis",Saccharopolyspora
13467,"05-74, I05-00074","DSM 45119, CCM 7463, KCTC 19303, JCM 16610, CPCC 201024",1,"Saccharopolyspora antimicrobica",Saccharopolyspora
168464,16K404,"JCM 32922, KCTC 49223",1,"Saccharopolyspora aridisoli",Saccharopolyspora
24453,,"DSM 45825, CCTCC AA 2012022, YIM C01235",1,"Saccharopolyspora cavernae",Saccharopolyspora
13465,,"DSM 45019, CIP 109355, SPE 10-1, JCM 18116",1,"Saccharopolyspora cebuensis",Saccharopolyspora
164136,,"JCM 31844, MCCC 1A17150",1,"Allosaccharopolyspora coralli",Allosaccharopolyspora
24454,,"DSM 46699, KCTC 19889, NBRC 108675, KLBMP 1305",1,"Saccharopolyspora dendranthemae",Saccharopolyspora
158633,,"KCTC 39989, CPCC 204620, SYSU D8010",1,"Saccharopolyspora deserti",Saccharopolyspora
168447,7K502,"CGMCC 4.7532, JCM 32921, KCTC 49222",1,"Saccharopolyspora elongata",Saccharopolyspora
13444,M-5-12559,"DSM 40517, AS 4.166, ATCC 11635, CBS 727.72, HUT 6087, IAM 0045, IFO 13426, ISP 5517, JCM 4026, JCM 4748, KCC S-0026, NBRC 13426, NCIB 8594, NRRL 2338, NRRL B-16947, RIA 1387, VKM Ac-1189, BCRC 13429, CECT 3200, CGMCC 4.1478, CGMCC 4.1660, HAMBI 938, IFO 12597, IMSNU 20121, IMSNU 21004, KCTC 9053, MTCC 1103, NBIMCC 3384, NBRC 12597, NCIMB 8594, PCM 2456, RIA 120",1,"Saccharopolyspora erythraea",Saccharopolyspora
105421,"STH00022(ZIMET), FERM-P4808","HKI 0022",0,"Saccharopolyspora erythraea",Saccharopolyspora
105422,"STI43932(IMET), FERM-P5081, ANR-58, MA144-M1",,0,"Saccharopolyspora erythraea",Saccharopolyspora
105423,ST004146(HKI),,0,"Saccharopolyspora erythraea",Saccharopolyspora
105424,ST008124(HKI),"IMET 43533, ISP 5481",0,"Saccharopolyspora erythraea",Saccharopolyspora
105425,"ST008125(HKI), G-162",,0,"Saccharopolyspora erythraea",Saccharopolyspora
105426,"ST008510(HKI), 39, AM33351/NTg061",,0,"Saccharopolyspora erythraea",Saccharopolyspora
105427,"ST008518(HKI), F198/S383, 48",,0,"Saccharopolyspora erythraea",Saccharopolyspora
105428,"STH00041(ZIMET), MA-144-M1","HKI 0041, FERM 2455",0,"Saccharopolyspora erythraea",Saccharopolyspora
13445,,"DSM 41009, ATCC 11912, IMRU 3036, PSA 43",0,"Saccharopolyspora erythraea",Saccharopolyspora
13458,07,"DSM 44771, AS 4.1520, IFO 16345, JCM 10665, KCTC 19905, NBRC 16345, CGMCC 4.1520",1,"Saccharopolyspora flava",Saccharopolyspora
13473,,"DSM 45582, CCTCC AA 207006, KCTC 19243, YIM 60513, JCM 30582, BCRC 16909",1,"Saccharopolyspora gloriosae",Saccharopolyspora
157997,"GoodfellowA85, LaceyA333","DSM 108744, ATCC 51265, IFO 15045, JCM 9687, NCIMB 12823, NRRL B-16506, CGMCC 4.1361, DSM 44324, IMSNU 20122, KCTC 9486, NBRC 15045",1,"Saccharopolyspora gregorii",Saccharopolyspora
132674,,"DSM 46663, CGMCC 4.7124, AFM 10238",0,"Saccharopolyspora griseoalba",Saccharopolyspora
13460,,"DSM 45007, KCTC 19162, YIM 90500, JCM 16221",1,"Saccharopolyspora halophila",Saccharopolyspora
160616,H212,"DSM 46681",0,"Saccharopolyspora halophila",Saccharopolyspora
130590,,"DSM 45990, CCTCC AA 2013006, TRM 45123, GIMCC 4.119, JCM 31077, CCTCC AB 2013006",1,"Saccharopolyspora halotolerans",Saccharopolyspora
158269,CR3506,"DSM 45715",1,"Saccharopolyspora hattusasensis",Saccharopolyspora
13447,,"DSM 43463, AS 4.1704, ATCC 27875, CBS 420.74, DSM 43402, IFO 13919, IMET 9709, IMRU 1558, JCM 3170, KCC A-0170, NBRC 13919, NCIB 11079, NRRL B-5792, CECT 3304, CGMCC 4.1317, CGMCC 4.1493, CGMCC 4.1704, IMSNU 20123, KACC 20037, KCTC 9481, NCIMB 11079, NRRL B-16205, RIA 1561, VKM Ac-666, VKM Ac-693",1,"Saccharopolyspora hirsuta",Saccharopolyspora
13446,,"DSM 43401, IMRU 1461",0,"Saccharopolyspora hirsuta",Saccharopolyspora
13448,"A 153, Lacey A 153","DSM 46073, IMET 7508, IMRU 1437",0,"Saccharopolyspora hirsuta",Saccharopolyspora
13449,"A 1145, Lacey A 1145","DSM 46074, IMET 7509, IMRU 1560",0,"Saccharopolyspora hirsuta",Saccharopolyspora
13450,"A 1132, Lacey A 1132","DSM 46203, IMET 9706",0,"Saccharopolyspora hirsuta",Saccharopolyspora
13454,"A54, A735","DSM 44065, ATCC 49856, IFO 15046, JCM 8090, NBRC 15046, NCIB 12824, IMSNU 20124, KCTC 9485, NCIMB 12824, NRRL B-16507",1,"Saccharopolyspora hordei",Saccharopolyspora
13452,"A 1016, A 87","DSM 43882, JCM 6304, NCIMB 12474",0,"Saccharopolyspora hordei",Saccharopolyspora
13453,,"DSM 43883, JCM 6303",0,"Saccharopolyspora hordei",Saccharopolyspora
157976,,"DSM 45232, IMMIB L-24",0,"Saccharopolyspora hordei",Saccharopolyspora
132165,VRC122,"DSM 102215, ATCC BAA-2551, KCTC 29208, MCC 2206, MTCC 11564",1,"Saccharopolyspora indica",Saccharopolyspora
168466,5K548,"JCM 33530, CGMCC 4.7625",1,"Saccharopolyspora karakumensis",Saccharopolyspora
13459,,"DSM 44795, ATCC 20501, FERM P-3912, IFO 15151, IMSNU 22158, JCM 9109, KCTC 9224, KCTC 9484, NBRC 15151, BCRC 16271, CGMCC 4.1319",1,"Saccharopolyspora kobensis",Saccharopolyspora
13470,W12,"DSM 45556, CGMCC 4.3529, JCM 14613",0,"Saccharopolyspora kobensis",Saccharopolyspora
24452,,"DSM 45975, CCTCC AA 2010012, KCTC 19987, TRM 40133",1,"Halosaccharopolyspora lacisalsi",Halosaccharopolyspora
160697,H194,"DSM 46688",0,"Halosaccharopolyspora lacisalsi",Halosaccharopolyspora
159824,3SS5-12,"NBRC 112863, TBRC 7048",1,"Saccharopolyspora maritima",Saccharopolyspora
13474,SR8.15,"DSM 45584, BCC 35844, NRRL B-24798, TISTR 1921, JCM 16708, NBRC 106097",1,"Saccharopolyspora phatthalungensis",Saccharopolyspora
